n02083346	canine, canid
n02083672	bitch
n02083780	brood bitch
n02083863	Canis, genus Canis
n02084071	dog, domestic dog, Canis familiaris
n02084732	pooch, doggie, doggy, barker, bow-wow
n02084861	cur, mongrel, mutt
n02085019	feist, fice
n02085118	pariah dog, pye-dog, pie-dog
n02085272	lapdog
n02085374	toy dog, toy
n02085620	Chihuahua
n02085782	Japanese spaniel
n02085936	Maltese dog, Maltese terrier, Maltese
n02086079	Pekinese, Pekingese, Peke
n02086240	Shih-Tzu
n02086346	toy spaniel
n02086478	English toy spaniel
n02086646	Blenheim spaniel
n02086753	King Charles spaniel
n02086910	papillon
n02087046	toy terrier
n02087122	hunting dog
n02087314	courser
n02087394	Rhodesian ridgeback
n02087551	hound, hound dog
n02088094	Afghan hound, Afghan
n02088238	basset, basset hound
n02088364	beagle
n02088466	bloodhound, sleuthhound
n02088632	bluetick
n02088745	boarhound
n02088839	coonhound
n02088992	coondog
n02089078	black-and-tan coonhound
n02089232	dachshund, dachsie, badger dog
n02089468	sausage dog, sausage hound
n02089555	foxhound
n02089725	American foxhound
n02089867	Walker hound, Walker foxhound
n02089973	English foxhound
n02090129	harrier
n02090253	Plott hound
n02090379	redbone
n02090475	wolfhound
n02090622	borzoi, Russian wolfhound
n02090721	Irish wolfhound
n02090827	greyhound
n02091032	Italian greyhound
n02091134	whippet
n02091244	Ibizan hound, Ibizan Podenco
n02091467	Norwegian elkhound, elkhound
n02091635	otterhound, otter hound
n02091831	Saluki, gazelle hound
n02092002	Scottish deerhound, deerhound
n02092173	staghound
n02092339	Weimaraner
n02092468	terrier
n02093056	bullterrier, bull terrier
n02093256	Staffordshire bullterrier, Staffordshire bull terrier
n02093428	American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
n02093647	Bedlington terrier
n02093754	Border terrier
n02093859	Kerry blue terrier
n02093991	Irish terrier
n02094114	Norfolk terrier
n02094258	Norwich terrier
n02094433	Yorkshire terrier
n02094562	rat terrier, ratter
n02094721	Manchester terrier, black-and-tan terrier
n02094931	toy Manchester, toy Manchester terrier
n02095050	fox terrier
n02095212	smooth-haired fox terrier
n02095314	wire-haired fox terrier
n02095412	wirehair, wirehaired terrier, wire-haired terrier
n02095570	Lakeland terrier
n02095727	Welsh terrier
n02095889	Sealyham terrier, Sealyham
n02096051	Airedale, Airedale terrier
n02096177	cairn, cairn terrier
n02096294	Australian terrier
n02096437	Dandie Dinmont, Dandie Dinmont terrier
n02096585	Boston bull, Boston terrier
n02096756	schnauzer
n02097047	miniature schnauzer
n02097130	giant schnauzer
n02097209	standard schnauzer
n02097298	Scotch terrier, Scottish terrier, Scottie
n02097474	Tibetan terrier, chrysanthemum dog
n02097658	silky terrier, Sydney silky
n02097786	Skye terrier
n02097967	Clydesdale terrier
n02098105	soft-coated wheaten terrier
n02098286	West Highland white terrier
n02098413	Lhasa, Lhasa apso
n02098550	sporting dog, gun dog
n02098806	bird dog
n02098906	water dog
n02099029	retriever
n02099267	flat-coated retriever
n02099429	curly-coated retriever
n02099601	golden retriever
n02099712	Labrador retriever
n02099849	Chesapeake Bay retriever
n02099997	pointer, Spanish pointer
n02100236	German short-haired pointer
n02100399	setter
n02100583	vizsla, Hungarian pointer
